"Owner","Username","Amount"
"rfYfNRBesPcL3AgBfeaDtPvsRpBrSpidVj","","1681"
"r3BWpaFk3rtWhhs2Q5FwFqLVdTPnfVUJLr","","495"
"rEdPR3uKXFyj2cGMTN3NaN5f2nHgsioJPz","","238"
"rUg3PhHCW3SknEy4zC5vYvgJsH1AAUMUAQ","","137"
"rsLyUXYgzHDbqQdVhxjBAXAi79sMS5yNmq","","135"
"rP1U7br6xhNpPxV8onXhDfdg8F8BGP5iFH","","124"
"rQhUBDNULqr26KwQJNn9UzVQmwVCk7pYjD","","116"
"raBxpswnmRqtyxGq8Xfw698xjA2UwHHzgf","","106"
"rMfeFwAKoHGJ23P6eeVDHzm1we7X82ap24","","102"
"rURkD8yUpHonGCRKzPYLC5sZUXtEFadGKR","","100"
"rxrpbagsJW1BU5zwGPwMRWxnh7NBbnkaZ","xrpbags","99"
"rKTqXbv2sKjndqNZsygrP3DwKjZXFfEUgg","","88"
"rJA5p2Lu412vvUYeNNSJyF7eFqzrhHQa7L","","88"
"rpTPoY8PRPMq1RfRoPZMmQqi1pPvBdpfeZ","","80"
"rU2k2u8EiMzpVcZjBr9vkTpfyXr5vGCSSh","","78"
"rLQSpubEeD14bHC9sNMcsBGikUcpbf4Z8C","","75"
"rfeeNhdd42D5gBXyk5j1UA14hrbukwQUAy","","66"
"rfVgvbA8sC6nKG14NGtFFnxV3iTDBjgW1j","","65"
"rg6jya4AhWBcjrCWQRQQbJSRq6FCeeaDV","","60"
"r4mDF91PWKjKu9orcbMXayZH26AzULCwLp","","60"
"rBDEjGczMgj2n6TRrAu2UviF8jq14FzvKg","","57"
"r4N3QfFRcedD6kyv9vbwBJ7iNE7qYMcTqn","","55"
"rBz4jL6wyFyVPxqb7wSX3PRrYxUaEkbkDN","","53"
"rYM8yWYfhHZhyBFC9dyT9xd8VdsQU6ah9","","50"
"rPCNfYwXJmafo7EN4y1kyKMN6J4Z4Z1pBq","","50"
"rBgc7nrQYaDodDfnPMAEPMmRrxvrAKXzhH","","50"
"r4S5ZYohaFxyzTngkbXGXuWCejE9hwDGvf","","50"
"r3B49en8bbVzioUcRem9Hnikv1NjWuEVaz","","50"
"rGvobrZ6kLuYhtSDyRFJce12G75WcCGyRa","","48"
"rUurfWhPyC6FeXDRT6cdr6MEpVTCF1Jjtg","","47"
"rMWcQCThwJjgC96fLrdvt5V1TjG3cJtQRg","","47"
"rGrT1jrawuwh8aWEg3e5Yj5cknwGRLyE3r","","41"
"r9vJSrhrbXwmJaoUhnXvacrC3SmeW4oedo","","40"
"rPAwSnUzRxkpLw6xDWqjw3FBqiWnvPpobj","","38"
"rhKripLX9uRWeT1WAUqJX2A28PyNGqmqZo","","37"
"ra65F5GmXU8MZAtMcJpBgKLzQvMfUrpJck","","35"
"raD8DRSGJeDjM38rQRY7d3N5kmkqXnQV3Z","","34"
"rLiJ1N74hPQnVBmedLfYnuvTxv1RF7YsH6","","34"
"rKvZAr5URmuLgWSTVVWDbZeHyXkDZqBEnb","","34"
"rfcBGSNFH6AJCtC3YEJqNNj6QXuD14Jn1d","","33"
"r9tNeQXfQwcwbk5T1PX5xfQpUbE1Pso2Ha","Rus","33"
"rarQdqV7wvw9LCQBd5PqT46oo6PFA4nHGh","","32"
"rHRg56skfuQokUmjN7pbMTnGwuSv1aZpv7","","32"
"rGxE3QiTzSeddM25WSPdS6GrveNLtz21Xh","","31"
"r9AtK1GcYeqZAA9sSPxWmXy8ECvi9M4HrP","Ragbone","31"
"rDxpsE8iqC5g3rECHeKPT7iCt2TbnSUHrM","","30"
"r3yPD2Lvv2BMsEG6PbvNfyEocQEsbH8ViK","","30"
"rseC4tmmcEPyT2Vav52hNMptNcgxHVGwM2","SecretLabs","28"
"rLeHL5tezDiCrWF1EiGdPWPcKhk3BAqBaM","","28"
"rnQa7BTrW1ycSP4tcSfxjBrMJxt6VpBB9n","","27"
"rPnrNL8SqFc5iYsY2Wf1mmXkJga36XjkMA","","27"
"rKTZVD7xABGNfFjta5ZBNJVNrzpf2WTWXt","","27"
"rBmCoyKfwFqMLnRh1ESZB2X67woQ5YsqhA","","27"
"rB92BzAp7g1YsqvE6fFuR79p1JKZVVAfDx","","27"
"r4jDhMv1KdMLunGKUHoTRSWywWinAGc4VF","","27"
"r3TPgu9cAaCvCJEBkzGL1e5XmwSrmJgEkv","","27"
"rQhvQ9sc1pbefL3CjjReJbq1oSNjCzVnek","","26"
"rsYAdZgDguRxihcHQjfHGb6FQYeU9t5TJg","","25"
"rnAFTwKY5fJeGT72B7wL397RJRkFUbv9Ui","","25"
"rhzKXdwbGUVu7CeiYWEvKwFDWh8iqjyu9D","","25"
"rfEgsZmqKtW25WrJUFZpMZ7H584d9fA3mv","","25"
"ra4iHGKrSPNLzFWFv2394cTiEoq73LMp6p","","25"
"rUHNRV4MES9Tf5LXJHBagjD5KYVxQfeZRE","","25"
"rJmYACooakBoyutubKKgFfDkUjotd7RF4h","","25"
"rD4VEWXUj5yTQ7DKzPzUh2fJtLvN1JMJby","","25"
"r4w8Bqq5xr5CRv1oBY4VRnyTRD21w125V8","","24"
"rsVPB7PpnGT5DdzMWqBthusYLQ6b45be2M","","23"
"rnr1Dsi29qPyELuHBvFButUHWDFejSPPNh","","23"
"rpWZAxbyx3e18cKgxbg6nrDKvzju7qrU5b","","22"
"rh2xaAPsP1yXkQj3Hm4ZD8DiGMc9mqY8z1","","21"
"rURGyeZfjXNmCMbK45kYdZAkB9x5e3CZiH","","21"
"rpjXsGpFg55Deeu92Fe5Wsp55ZFaSgardH","","20"
"rpjL9CfLwzmx9csJkdPLum7YRe99dx7MCj","","20"
"rUGwvh8XrxjApzEFUUPfFEAqManNuDaU5Y","","20"
"rJ8JJGZHKvyGkiFZhf5TbhnH8HSupWoDqE","","20"
"rETgjbtrpcY3kH78gLYqw3KNPFmkVhVzG5","","20"
"rfNZYn8C2GzANcBeD78hpMHFpRsUezxv5G","","19"
"rURgDk6HP6iFvJWiYTPZ57nTMptgD9UqWD","","19"
"rJzyW3mQuANHZ4omRrLedd9CWGwXJNMa6J","","19"
"rERU4URt9szBh1KyA83pzQScY1ZSHDnVhE","","19"
"rwEHSasK5xnzDjgzDn94ZwQBmTRDZeaNxF","","18"
"rfAjtJ3NxtHTkzeDT9JCR4X58j59bsLQyp","","18"
"rKtz4cbwdRPbVfw8Yy6q7eoihkdS8RUjGY","","18"
"rJ8G2QAohzMyeHTuccSrEUEQciLSJkzt45","","18"
"rEUXUbbdxEpvYmThQUhV4mePVGUijwfKK8","","18"
"rhCmJgCKMZWosWF3R2cUHjroQZCQAZ4KWE","","17"
"rh7nN737TuQ4WPzy24fL7o1861CrQHT9ki","","17"
"rajjvoQdFSXNx699WgMYYZxLx51f6NSGdu","","17"
"rLNMFp78EnZbUcEWQW9Fu88SqciqnbHqtP","","17"
"rB4a4aHR65ijCvpNdvuZtCMPomCeBNvDDe","","17"
"rp7tLREHUd4UT5CXWT3TWM7njeaZrRGDxa","","16"
"rnDUkG9Wr4jZb3pXrbnu1MHk2V8s8hRvAh","","16"
"rUC5YtcopCXxrsNQN1bUeRSWndzEfNTJFc","","16"
"r4GnpzsYFfNmisDzrWVXdXtcsZuUiXKGxz","","16"
"rwz31HV3Pn6EFzNGCudYfFHtNUZN5Z1FYn","","15"
"rwbi4bvMJkrVJpuM3JLpnUcGnjNKYVFszS","","15"
"rsZRn4TrXnNeXAbk5qXRuwN4jfSpq9BF2N","","15"
"rpqfoT4BLbRyQA612WsCwBcE2yKKRbKSFo","","15"
"rNr2PwpTVBrupk8Ebx3UU9j4KLkid4TuJZ","","15"
"rNpmMxZCA2QVcbaPH8UpTkTBNKH4VGkoh2","","15"
"rJ4zCnphZi8t1Tmio42BPuG6BbyWxwiZPQ","","15"
